t,f1,precision,recall,accuracy,auc,dp_diff_max,eod_diff_max,dp_abs
0.05,0.5958165519033389,0.4278783355103564,0.9807527801539777,0.6815436585116184,0.9315911403446064,0.3709332267303282,0.09317812385297053,0.3709332267303282
0.06,0.6100923571141748,0.44398986947204366,0.974764756201882,0.7018118538233187,0.9315911403446064,0.3763927832768412,0.08798699596245618,0.3763927832768412
0.07,0.6233694905945352,0.4590495449949444,0.9709153122326775,0.7192138396970007,0.9315911403446064,0.3735072294854903,0.08421163022390021,0.3735072294854903
0.08,0.6359797297297297,0.4739823751573647,0.9662104362703166,0.73528508547446,0.9315911403446064,0.3752191179727411,0.1920192963137748,0.3752191179727411
0.09,0.644836995547896,0.4854054054054054,0.9602224123182207,0.7468522878493192,0.9315911403446064,0.37271117905175877,0.18588432698862145,0.37271117905175877
0.1,0.6528042173085371,0.49632598530394123,0.9533789563729683,0.7572934793735285,0.9315911403446064,0.3699083927344797,0.1797493576634681,0.3699083927344797
0.11,0.6595110316040549,0.5061784897025171,0.9461077844311377,0.7661992015559422,0.9315911403446064,0.36957014402666577,0.17314246762099517,0.36957014402666577
0.12,0.6650522173452399,0.514640431014289,0.9396920444824637,0.7734670897737742,0.9315911403446064,0.36131756059292297,0.16747941901316132,0.36131756059292297
0.13,0.6693288281369989,0.5221663072130361,0.9319931565440548,0.7796089671409561,0.9315911403446064,0.3556700411772876,0.160400608253369,0.3556700411772876
0.14,0.6748791517230626,0.531042944785276,0.9255774165953806,0.7865697614904289,0.9315911403446064,0.35200570363613837,0.15568140108017403,0.35200570363613837
0.15,0.6814861860908225,0.5419191919191919,0.9178785286569717,0.7946565666905517,0.9315911403446064,0.3461762740748248,0.1471868281684232,0.3461762740748248
0.16,0.6861196195389327,0.5505821474773609,0.9101796407185628,0.8006960794349472,0.9315911403446064,0.34389162903655657,0.142330826963726,0.34389162903655657
0.17,0.6912773603397583,0.5591966173361522,0.9050470487596236,0.8065308629337701,0.9315911403446064,0.3401005596657771,0.1394746992149105,0.3401005596657771
0.18,0.6942148760330579,0.5657327586206896,0.8982035928143712,0.8106254478452247,0.9315911403446064,0.3372400144139275,0.14428560171533555,0.3372400144139275
0.19,0.696554031448645,0.5719780219780219,0.8905047048759623,0.8143105742655339,0.9315911403446064,0.3334627396221599,0.17126431850358226,0.3334627396221599
0.2,0.7002032520325203,0.5796410544026921,0.8840889649272883,0.8188146176681339,0.9315911403446064,0.3298351876250427,0.16512934917842892,0.3298351876250427
0.21,0.7056804530633259,0.589280596159358,0.8793840889649273,0.8244446719213839,0.9315911403446064,0.3225361192752497,0.16041014200523396,0.3225361192752497
0.22,0.7087816730301979,0.5963785046728972,0.8733960650128315,0.8282321629644794,0.9315911403446064,0.3193807266271035,0.15380325196276112,0.3193807266271035
0.23,0.711882229232387,0.6030285035629454,0.8686911890504705,0.8317125601392159,0.9315911403446064,0.31440566947813325,0.14908404478956627,0.31440566947813325
0.24,0.7149449769258076,0.6110436893203883,0.8614200171086399,0.8356024158050978,0.9315911403446064,0.30971166514644777,0.23338624565618427,0.30971166514644777
0.25,0.7168523176428315,0.6180297397769516,0.8532934131736527,0.8386733544886887,0.9315911403446064,0.30425985045550263,0.22489167274443345,0.30425985045550263
0.26,0.72188919164396,0.6274076413009156,0.8498716852010265,0.8432797625140751,0.9315911403446064,0.29851318836826085,0.22253206915783608,0.29851318836826085
0.27,0.7240999265246143,0.6345782356728912,0.8430282292557741,0.8462483365748797,0.9315911403446064,0.29368325582093696,0.21639709983268263,0.29368325582093696
0.28,0.726427375860145,0.6426456071076012,0.8353293413173652,0.8494216398812571,0.9315911403446064,0.28655230303781026,0.2088463683555708,0.28655230303781026
0.29,0.7282670186686782,0.651264755480607,0.8259195893926433,0.852492578564848,0.9315911403446064,0.27650764426126745,0.1989360332918615,0.27650764426126745
0.3,0.7270650932622763,0.6550068587105624,0.8169375534644996,0.8532091309243526,0.9315911403446064,0.2712377397160006,0.19696969696969702,0.2712377397160006
0.31,0.7281123725226092,0.6617698495977614,0.8092386655260907,0.8553587880028662,0.9315911403446064,0.26702509111929407,0.19696969696969702,0.26702509111929407
0.32,0.7288333983612953,0.6700143472022956,0.7989734816082121,0.8577131743269526,0.9315911403446064,0.26111031346538593,0.19696969696969702,0.26111031346538593
0.33,0.7323721113964053,0.6803669724770642,0.7929854576561164,0.8612959361244754,0.9315911403446064,0.25413827986291754,0.18414918414918413,0.25413827986291754
0.34,0.7305389221556886,0.6848802395209581,0.7827202737382378,0.8618077592384072,0.9315911403446064,0.24870945613699236,0.15850815850815847,0.24870945613699236
0.35,0.7329694764503739,0.6949022614028363,0.7754491017964071,0.8647763332992118,0.9315911403446064,0.2435708816143599,0.1667726213180758,0.2435708816143599
0.36,0.7316079070715304,0.6987154534838459,0.7677502138579982,0.8651857917903573,0.9315911403446064,0.23923150118802292,0.1704810341173978,0.23923150118802292
0.37,0.7299691040164779,0.7040127135478744,0.757912745936698,0.8657999795270754,0.9315911403446064,0.23349863367979307,0.15766052129688501,0.23349863367979307
0.38,0.7306012065737466,0.7112191170514378,0.7510692899914457,0.8674378134916573,0.9315911403446064,0.22838305012218052,0.15766052129688501,0.22838305012218052
0.39,0.730672268907563,0.718001651527663,0.743798118049615,0.8687685535878801,0.9315911403446064,0.2252552466320582,0.14067137547338338,0.2252552466320582
0.4,0.7314795160263213,0.7260851243152128,0.7369546621043627,0.8705087521752483,0.9315911403446064,0.22044370685675035,0.20065210862756877,0.22044370685675035
0.41,0.7322193658954584,0.7334763948497854,0.7309666381522669,0.8720442215170437,0.9315911403446064,0.21609972823740942,0.19451713930241543,0.21609972823740942
0.42,0.7335640138408305,0.7419072615923009,0.7254063301967494,0.8738867847271983,0.9315911403446064,0.21068469909049617,0.1883821699772621,0.21068469909049617
0.43,0.7347027972027972,0.7511170688114388,0.7189905902480753,0.8757293479373528,0.9315911403446064,0.2064858450728016,0.18224720065210864,0.2064858450728016
0.44,0.7343612334801762,0.757039055404178,0.7130025662959795,0.8765482649196438,0.9315911403446064,0.20276374859708193,0.1756403106096358,0.20276374859708193
0.45,0.7349477893801377,0.764678687008784,0.7074422583404619,0.8778790050158665,0.9315911403446064,0.19949541869831727,0.17044918271912146,0.19949541869831727
0.46,0.731149012567325,0.7691218130311614,0.6967493584260052,0.8773671819019347,0.9315911403446064,0.19346770379379075,0.25097601784718354,0.19346770379379075
0.47,0.7299006323396567,0.7732057416267942,0.6911890504704876,0.8775719111475074,0.9315911403446064,0.1918969047592236,0.2453129692393496,0.1918969047592236
0.48,0.7276877425245378,0.7802251590797846,0.6817792985457656,0.8778790050158665,0.9315911403446064,0.18922746603906027,0.23634647561027927,0.18922746603906027
0.49,0.7281508739650414,0.7875621890547264,0.6770744225834047,0.8790050158665166,0.9315911403446064,0.18505160298638557,0.23115534771976493,0.18505160298638557
0.5,0.7259224878161986,0.793505834601725,0.6689478186484175,0.8791073804893029,0.9315911403446064,0.17994981400778504,0.22494172494172499,0.17994981400778504
0.51,0.7225866916588566,0.7989637305699482,0.6595380667236954,0.8788002866209438,0.9315911403446064,0.17637284213371168,0.22494172494172499,0.17637284213371168
0.52,0.7195842192298606,0.8036939313984169,0.6514114627887083,0.8784931927525848,0.9315911403446064,0.17463852572548222,0.2121212121212121,0.17463852572548222
0.53,0.7176190476190476,0.8093447905477981,0.6445680068434559,0.8785955573753711,0.9315911403446064,0.1722961217526435,0.2121212121212121,0.1722961217526435
0.54,0.7163749700311676,0.8150572831423896,0.6390076988879384,0.8789026512437301,0.9315911403446064,0.1691959074205451,0.2121212121212121,0.1691959074205451
0.55,0.7137330754352031,0.8209121245828699,0.6313088109495295,0.8788002866209438,0.9315911403446064,0.17257085020242913,0.19930069930069932,0.17257085020242913
0.56,0.711360312042906,0.8270975056689343,0.6240376390076989,0.8788002866209438,0.9315911403446064,0.17257085020242913,0.2902097902097902,0.17257085020242913
0.57,0.7084254482928027,0.8320830929024813,0.6167664670658682,0.8784931927525848,0.9315911403446064,0.16155600974441553,0.2607147453773221,0.16155600974441553
0.58,0.7045116509667824,0.8378537735849056,0.6077844311377245,0.8779813696386529,0.9315911403446064,0.15767959228104156,0.2512763310309323,0.15767959228104156
0.59,0.6997742663656885,0.8459672528805336,0.5966638152266894,0.8774695465247211,0.9315911403446064,0.15317669448104232,0.23947831309794498,0.15317669448104232
0.6,0.6938672072985301,0.8513681592039801,0.5855431993156544,0.8763435356740711,0.9315911403446064,0.14822462829709207,0.2281522158822772,0.14822462829709207
0.61,0.688348271446863,0.8576898532227186,0.5748502994011976,0.8754222540689938,0.9315911403446064,0.14464765642301874,0.2261072261072261,0.14464765642301874
0.62,0.6814776543528804,0.8604044357469015,0.5641573994867408,0.8737844201044119,0.9315911403446064,0.1398591076127308,0.2261072261072261,0.1398591076127308
0.63,0.6757180156657964,0.8672922252010724,0.553464499572284,0.8728631384993346,0.9315911403446064,0.13490704142878057,0.2261072261072261,0.13490704142878057
0.64,0.6694825765575502,0.8744827586206897,0.542343883661249,0.871839492271471,0.9315911403446064,0.14271255060728746,0.2261072261072261,0.14271255060728746
0.65,0.6636484687083888,0.8793225123500353,0.5329341317365269,0.870713481420821,0.9315911403446064,0.13942307692307693,0.21328671328671323,0.13942307692307693
0.66,0.6562584118438762,0.8852578068264343,0.5213857998289136,0.8692803767018119,0.9315911403446064,0.13942307692307693,0.21328671328671323,0.13942307692307693
0.67,0.6529395827688973,0.8906134515890614,0.5153977758768178,0.8688709182106664,0.9315911403446064,0.1361336032388664,0.20046620046620045,0.1361336032388664
0.68,0.6445964432284542,0.894457099468489,0.5038494439692045,0.8670283550005118,0.9315911403446064,0.1424595141700405,0.18764568764568768,0.1424595141700405
0.69,0.6386972122550373,0.9003891050583658,0.4948674080410607,0.8660047087726481,0.9315911403446064,0.13588056680161942,0.18308963763509217,0.13588056680161942
0.7,0.6296399665085124,0.9060240963855422,0.48246364414029086,0.8641621455624936,0.9315911403446064,0.12930161943319837,0.1702691248145794,0.12930161943319837
0.71,0.6231721034870641,0.909688013136289,0.4739093242087254,0.8628314054662709,0.9315911403446064,0.12930161943319837,0.17853358762449673,0.12930161943319837
0.72,0.6139402560455192,0.9167374681393373,0.46150556030795553,0.8610912068789026,0.9315911403446064,0.12601214574898786,0.16571307480398384,0.12601214574898786
0.73,0.6071736011477762,0.9224062772449869,0.4525235243798118,0.8598628314054663,0.9315911403446064,0.11614372469635628,0.16115702479338845,0.11614372469635628
0.74,0.5990730011587485,0.9281867145421903,0.4422583404619333,0.8583273620636708,0.9315911403446064,0.09969635627530365,0.12269548633185001,0.09969635627530365
0.75,0.5875805506736965,0.9321561338289963,0.42899914456800686,0.8558706111167981,0.9315911403446064,0.09640688259109312,0.13095994914176734,0.09640688259109312
0.76,0.5766725873297809,0.9365384615384615,0.41659538066723695,0.853618589415498,0.9315911403446064,0.09311740890688258,0.13466836194108922,0.09311740890688258
0.77,0.5697258641239571,0.9390962671905697,0.40889649272882805,0.8521854846964889,0.9315911403446064,0.09311740890688258,0.13466836194108922,0.09311740890688258
0.78,0.5569620253164557,0.9428571428571428,0.39520958083832336,0.8495240045040434,0.9315911403446064,0.08982793522267207,0.1303948576675849,0.08982793522267207
0.79,0.5457864313964101,0.9452054794520548,0.38366124893071,0.847169618179957,0.9315911403446064,0.08982793522267207,0.1386593204775023,0.08982793522267207
0.8,0.5393327211509029,0.9483315392895587,0.37681779298545764,0.8459412427065206,0.9315911403446064,0.08686440677966101,0.155188246097337,0.08686440677966101
0.81,0.5276832663161151,0.9530726256983241,0.36484174508126604,0.8436892210052206,0.9315911403446064,0.0846342551293488,0.155188246097337,0.0846342551293488
0.82,0.5166926677067083,0.9550173010380623,0.3541488451668092,0.8414371993039206,0.9315911403446064,0.08240410347903657,0.16345270890725433,0.08240410347903657
0.83,0.5092738132662684,0.9608540925266904,0.34644995722840033,0.8402088238304842,0.9315911403446064,0.072796996347721,0.16345270890725433,0.072796996347721
0.84,0.5019011406844106,0.9682151589242054,0.33875106928999144,0.8390828129798341,0.9315911403446064,0.07123079550615782,0.1717171717171717,0.07123079550615782
0.85,0.49169859514687103,0.9697732997481109,0.32934131736526945,0.8370355205241069,0.9315911403446064,0.06798545657241309,0.1717171717171717,0.06798545657241309
0.86,0.4826254826254826,0.974025974025974,0.32078699743370404,0.8353976865595251,0.9315911403446064,0.06565684717858632,0.1717171717171717,0.06565684717858632
0.87,0.47047371836469826,0.9744623655913979,0.3100940975192472,0.8329409356126523,0.9315911403446064,0.0625612310394919,0.17998163452708904,0.0625612310394919
0.88,0.46123650637880276,0.980528511821975,0.3015397775876818,0.8314054662708568,0.9315911403446064,0.059619935888051825,0.18824609733700642,0.059619935888051825
0.89,0.4556795797767564,0.980225988700565,0.2968349016253208,0.8302794554202068,0.9315911403446064,0.058839134563772245,0.18824609733700642,0.058839134563772245
0.9,0.44591465431690375,0.983941605839416,0.28828058169375537,0.8285392568328386,0.9315911403446064,0.05666484615759978,0.19651056014692375,0.05666484615759978
0.91,0.43652115961346216,0.9879336349924586,0.28015397775876816,0.8269014228682567,0.9315911403446064,0.05418651396912266,0.2047750229568411,0.05418651396912266
0.92,0.43000669792364365,0.9907407407407407,0.2745936698032506,0.8257754120176067,0.9315911403446064,0.05324679346418476,0.21303948576675846,0.05324679346418476
0.93,0.4244870501177262,0.9937007874015747,0.26988879384088965,0.8248541304125294,0.9315911403446064,0.05169898539463756,0.21303948576675846,0.05169898539463756
0.94,0.41596212377409536,0.9935379644588045,0.2630453378956373,0.8232162964479476,0.9315911403446064,0.0515216734419633,0.21303948576675846,0.0515216734419633
